TERM, rolestring, attrstring, WEIGHT, FREQ, NUMDOCS, KEEP, Rank, topic1, topic2, topic3, topic4, topic5, topic6, topic7, topic8, topic9, topic10, topic11, topic12, topic13, topic14, topic15, topic16, topic17, topic18, _termid, 
uniqlo, Prop, Alpha, 0.2072332745, 62, 50, Y, 1, 0.153, -0.003, -0.003, 0.003, 0.034, 0.004, 0.067, 0.002, 0.231, 0, 0.012, 0, 0, 0.13, 0, 0.169, -0.042, 0, 302, 
uniqlousa, Prop, Alpha, 0.2526840443, 38, 38, Y, 2, 0.178, -0.003, -0.002, -0.001, 0.059, 0.009, -0.046, 0.002, 0.233, 0, -0.002, 0, 0, 0.14, 0, 0.004, -0.215, 0, 1, 
 + store, Noun, Alpha, 0.3012484213, 30, 30, Y, 3, 0.234, -0.001, 0.001, 0.002, 0.071, 0.016, 0.084, 0.006, -0.011, 0, 0, 0, 0, 0.087, 0, 0.255, -0.029, 0, 113, 
online, Adj, Alpha, 0.3470916616, 24, 24, Y, 4, 0.29, 0, 0.002, 0.003, 0.058, 0.023, 0.112, 0.008, -0.026, 0, -0.001, 0, 0, 0.117, 0, 0.023, -0.009, 0, 175, 
collection, Noun, Alpha, 0.4415091605, 20, 16, Y, 5, 0.144, 0, 0.001, 0.008, 0.017, -0.012, 0.252, 0.017, -0.01, 0, 0.025, 0, 0, 0.156, 0, 0.024, 0.196, 0, 117, 
find, Verb, Alpha, 0.4303915565, 16, 16, Y, 5, -0.065, -0.006, -0.006, -0.003, 0.036, 0.001, 0.106, 0.012, 0.257, 0, -0.018, 0, 0, 0.161, 0, -0.013, 0.023, 0, 351, 
 + shop, Verb, Alpha, 0.4894937724, 12, 12, Y, 7, 0.237, 0.002, 0.001, 0.001, -0.023, 0.03, 0.036, 0.002, -0.013, 0, -0.003, 0, 0, 0.137, 0, 0.016, -0.327, 0, 398, 
 + holiday, Noun, Alpha, 0.5269504271, 10, 10, Y, 8, 0.028, -0.004, -0.006, -0.001, -0.03, -0.003, 0.224, -0.012, 0.213, 0, 0, 0, 0, -0.056, 0, -0.011, -0.047, 0, 285, 
 + year, Noun, Alpha, 0.5727936673, 8, 8, Y, 9, 0.013, 0, 0, 0.007, 0, -0.002, 0.097, -0.006, 0.002, 0, 0.404, 0, 0, 0.008, 0, 0.006, 0.053, 0, 317, 
best, Prop, Alpha, 0.5727936673, 8, 8, Y, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.706, 0, 0, 0, 0, 0, 0, 19, 
day, Noun, Alpha, 0.5727936673, 8, 8, Y, 9, -0.009, 0.115, 0.001, 0, 0.208, 0.001, -0.004, -0.001, -0.002, 0, 0, 0, 0, -0.005, 0, -0.004, 0.015, 0, 189, 
gift, Noun, Alpha, 0.6205698918, 14, 8, Y, 9, -0.046, 0.002, 0.004, -0.002, -0.121, 0.002, -0.064, 0, 0.663, 0, -0.005, 0, 0, -0.096, 0, -0.023, 0.034, 0, 209, 
heattech, Prop, Alpha, 0.6023447753, 12, 8, Y, 9, -0.09, 0.002, 0.001, -0.005, -0.011, 0.004, -0.048, -0.005, -0.002, 0, -0.012, 0, 0, 0.507, 0, -0.006, 0.105, 0, 385, 
last-minute, Adj, Mixed, 0.5727936673, 8, 8, Y, 9, -0.022, -0.011, -0.008, 0, 0.144, -0.003, -0.01, -0.001, 0.263, 0, 0.001, 0, 0, -0.038, 0, -0.003, -0.027, 0, 378, 
 + dress, Noun, Alpha, 0.6439947228, 8, 6, Y, 15, 0.047, 0.001, 0, 0.001, -0.006, 0.41, 0.011, 0.002, -0.001, 0, 0.001, 0, 0, 0.031, 0, 0.027, -0.113, 0, 356, 
 + gift, Verb, Alpha, 0.6318958833, 6, 6, Y, 15, -0.004, -0.008, 0, 0, 0.288, -0.002, -0.01, 0, 0.03, 0, 0.001, 0, 0, -0.009, 0, 0.005, -0.033, 0, 434, 
12/24, Num, Mixed, 0.6318958833, 6, 6, Y, 15, -0.004, -0.008, 0, 0, 0.288, -0.002, -0.01, 0, 0.03, 0, 0.001, 0, 0, -0.009, 0, 0.005, -0.033, 0, 49, 
best, Noun, Alpha, 0.6318958833, 6, 6, Y, 15, 0.105, 0, 0, -0.001, -0.003, 0.315, -0.022, -0.001, -0.003, 0, -0.003, 0, 0, -0.048, 0, -0.012, 0.057, 0, 261, 
choose, Verb, Alpha, 0.6318958833, 6, 6, Y, 15, -0.005, 0.005, 0.177, 0, -0.031, 0, -0.019, 0.001, 0.119, 0, 0, 0, 0, -0.024, 0, -0.004, 0, 0, 212, 
down, Prop, Alpha, 0.6318958833, 6, 6, Y, 15, 0.345, 0.001, 0, -0.002, -0.017, -0.011, -0.044, -0.002, -0.018, 0, -0.006, 0, 0, -0.058, 0, -0.018, 0.02, 0, 192, 
first, Adj, Alpha, 0.6318958833, 6, 6, Y, 15, 0.027, 0, 0, 0.196, 0.004, -0.002, 0.011, -0.002, 0.005, 0, 0.032, 0, 0, 0.02, 0, 0.013, 0.079, 0, 103, 
jacket, Prop, Alpha, 0.6318958833, 6, 6, Y, 15, 0.311, 0.001, 0, -0.002, -0.015, -0.007, 0.008, -0.005, -0.011, 0, -0.006, 0, 0, -0.075, 0, -0.012, 0.029, 0, 153, 
museum, Prop, Alpha, 0.6318958833, 6, 6, Y, 15, 0.004, 0, 0, -0.001, 0.004, 0, 0.063, 0.36, -0.003, 0, -0.008, 0, 0, 0.011, 0, 0.007, 0.038, 0, 371, 
pick, Verb, Alpha, 0.6318958833, 6, 6, Y, 15, -0.004, -0.008, 0, 0, 0.288, -0.002, -0.01, 0, 0.03, 0, 0.001, 0, 0, -0.009, 0, 0.005, -0.033, 0, 267, 
right, Verb, Alpha, 0.6318958833, 6, 6, Y, 15, -0.005, 0.135, 0.007, 0, -0.032, 0, -0.02, 0.001, 0.12, 0, 0, 0, 0, -0.025, 0, -0.004, 0, 0, 257, 
t-shirt, Noun, Mixed, 0.6318958833, 6, 6, Y, 15, -0.014, 0.001, 0.001, -0.001, 0, 0, 0.304, 0.014, -0.005, 0, -0.005, 0, 0, 0, 0, 0.003, 0.028, 0, 367, 
warm, Adj, Alpha, 0.6318958833, 6, 6, Y, 15, 0.055, 0.003, 0.001, -0.002, -0.022, -0.008, -0.026, -0.001, -0.02, 0, -0.007, 0, 0, 0.262, 0, -0.018, -0.105, 0, 330, 
winter, Noun, Alpha, 0.6318958833, 6, 6, Y, 15, 0.118, 0.001, 0, -0.003, -0.006, -0.01, -0.024, -0.003, -0.002, 0, -0.007, 0, 0, 0.161, 0, -0.006, 0.152, 0, 173, 
 + beg, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.312, 0, 0, 0, 0, 0, 0, 0, 0, 343, 
 + child, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.022, 0.001, 0.001, -0.001, -0.006, 0, 0.264, -0.012, -0.002, 0, 0.004, 0, 0, -0.017, 0, -0.006, -0.018, 0, 162, 
 + continue, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, -0.006, 0.001, 0.001, -0.001, 0.002, 0, 0.214, 0.021, -0.006, 0, 0.003, 0, 0, 0.004, 0, 0.003, 0.038, 0, 470, 
 + copy, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 320, 
 + design, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0.161, -0.001, -0.001, -0.004, -0.002, 0.009, -0.042, -0.003, 0.015, 0, -0.008, 0, 0, -0.008, 0, -0.01, 0.21, 0, 349, 
 + design, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0.008, -0.004, -0.005, -0.002, -0.014, 0.001, -0.017, -0.004, 0.16, 0, -0.002, 0, 0, 0.032, 0, -0.001, 0.187, 0, 96, 
 + donate, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, -0.022, 0.001, 0.001, -0.001, -0.006, 0, 0.264, -0.012, -0.002, 0, 0.004, 0, 0, -0.017, 0, -0.006, -0.018, 0, 67, 
 + easy, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, 0.02, -0.004, -0.002, 0.002, 0.057, -0.011, -0.013, 0.003, 0.052, 0, 0.007, 0, 0, 0.035, 0, 0.007, -0.172, 0, 180, 
 + essential, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.011, 0.001, 0.001, -0.003, 0, 0.001, -0.017, -0.003, -0.018, 0, -0.01, 0, 0, 0.248, 0, 0.012, 0.023, 0, 307, 
 + event, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0.073, 0.001, 0, 0, -0.015, -0.004, 0.176, -0.01, -0.004, 0, 0.01, 0, 0, -0.035, 0, -0.005, -0.068, 0, 165, 
 + feature, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0.161, -0.001, -0.001, -0.004, -0.002, 0.009, -0.042, -0.003, 0.015, 0, -0.008, 0, 0, -0.008, 0, -0.01, 0.21, 0, 321, 
 + feel, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 164, 
 + interest, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 467, 
 + international organization, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, -0.022, 0.001, 0.001, -0.001, -0.006, 0, 0.264, -0.012, -0.002, 0, 0.004, 0, 0, -0.017, 0, -0.006, -0.018, 0, 414, 
 + invest, Verb, Alpha, 0.7151957782, 8, 4, Y, 29, 0, 0, 0.306, 0, 0.001, 0, 0.001, 0, -0.003, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 41, 
 + knee, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.312, 0, 0, 0, 0, 0, 0, 0, 0, 38, 
 + layer, Verb, Alpha, 0.7268306239, 6, 4, Y, 29, -0.095, 0.002, 0.001, -0.002, -0.017, 0.001, -0.021, -0.002, -0.015, 0, -0.006, 0, 0, 0.395, 0, -0.02, -0.068, 0, 262, 
 + look, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.06, 0.002, 0.001, -0.001, -0.012, 0, -0.013, -0.002, -0.014, 0, -0.005, 0, 0, 0.299, 0, -0.014, -0.051, 0, 122, 
 + option, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0.067, -0.005, -0.001, 0.001, 0.088, -0.007, 0.017, 0.003, 0.021, 0, 0.002, 0, 0, 0.019, 0, 0.022, -0.119, 0, 217, 
 + order, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, -0.026, 0, 0, 0, 0, 0.349, 0, 0, 0, 0, 0.001, 0, 0, -0.001, 0, -0.002, 0.012, 0, 31, 
 + organization, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.022, 0.001, 0.001, -0.001, -0.006, 0, 0.264, -0.012, -0.002, 0, 0.004, 0, 0, -0.017, 0, -0.006, -0.018, 0, 237, 
 + roll, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 433, 
 + sock, Noun, Alpha, 0.7268306239, 6, 4, Y, 29, 0.006, -0.001, 0, -0.005, 0.01, 0.005, -0.041, -0.005, 0.01, 0, -0.012, 0, 0, 0.213, 0, 0.027, 0.233, 0, 354, 
 + step, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, -0.043, 0.001, 0, 0.001, -0.016, -0.006, -0.019, 0.001, 0.015, 0, 0.005, 0, 0, 0.193, 0, -0.013, -0.144, 0, 34, 
 + store, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0.024, -0.004, -0.004, 0.011, -0.012, -0.003, 0.013, -0.004, 0.147, 0, 0.038, 0, 0, 0.009, 0, 0.014, 0.122, 0, 319, 
 + wear, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, -0.005, 0, 0, -0.003, 0, 0.001, -0.026, 0.002, 0, 0, 0.455, 0, 0, -0.001, 0, -0.002, -0.015, 0, 172, 
12/19, Num, Mixed, 0.7151957782, 4, 4, Y, 29, -0.012, -0.004, 0.001, 0, 0.26, 0.001, -0.006, -0.001, -0.002, 0, -0.001, 0, 0, -0.006, 0, -0.005, 0.019, 0, 336, 
50k, Noun, Mixed, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 258, 
50k daily, Noun Group, Mixed, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 263, 
5w, Noun, Mixed, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 272, 
account, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 219, 
action, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 431, 
airism, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.026, 0, 0, 0, 0, 0.349, 0, 0, 0, 0, 0.001, 0, 0, -0.001, 0, -0.002, 0.012, 0, 241, 
amazing, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 304, 
amazing day, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 368, 
art, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, -0.002, 0, 0, 0, -0.001, 0, -0.01, 0.38, 0, 0, 0.001, 0, 0, -0.004, 0, -0.001, -0.006, 0, 178, 
article, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 27, 
babe, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.309, 0, 0, 0, 44, 
bag, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0.001, -0.004, -0.005, -0.003, -0.029, 0.002, -0.037, -0.001, 0.173, 0, -0.007, 0, 0, 0.04, 0, -0.005, 0.185, 0, 174, 
bank, Noun, Alpha, 0.7151957782, 20, 4, Y, 29, -0.003, 0, 0, 0.544, -0.001, 0, -0.002, 0, 0, 0, -0.004, 0, 0, -0.002, 0, -0.002, -0.008, 0, 311, 
bank account, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 474, 
bei, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 437, 
blind, Adv, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 360, 
blindly, Adv, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 228, 
carefully, Adv, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 65, 
channel, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.259, 0, 0, 0, 0, 0, 0, 0, 0, 185, 
charity, Noun, Alpha, 0.7268306239, 6, 4, Y, 29, -0.029, 0.001, 0.001, -0.001, -0.007, 0, 0.346, -0.015, -0.002, 0, -0.001, 0, 0, -0.019, 0, -0.006, -0.022, 0, 415, 
chgtb, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 306, 
chiang, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.474, 89, 
city, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, -0.002, 0, 0, 0, -0.001, 0, -0.01, 0.38, 0, 0, 0.001, 0, 0, -0.004, 0, -0.001, -0.006, 0, 289, 
collected, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, -0.005, 0, 0, -0.003, 0, 0.001, -0.026, 0.002, 0, 0, 0.455, 0, 0, -0.001, 0, -0.002, -0.015, 0, 230, 
collected several, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, -0.005, 0, 0, -0.003, 0, 0.001, -0.026, 0.002, 0, 0, 0.455, 0, 0, -0.001, 0, -0.002, -0.015, 0, 15, 
cozy, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, -0.023, 0, 0, 0.011, -0.003, -0.001, 0.002, -0.003, 0.004, 0, 0.037, 0, 0, 0.177, 0, 0.006, 0.065, 0, 447, 
cut-offs, Prop, Mixed, 0.7151957782, 4, 4, Y, 29, -0.012, -0.004, 0.001, 0, 0.26, 0.001, -0.006, -0.001, -0.002, 0, -0.001, 0, 0, -0.006, 0, -0.005, 0.019, 0, 310, 
daily, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 476, 
danny, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.474, 331, 
der, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 
die, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412, 
dm-hallo, Prop, Mixed, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 
ecuador, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.501, 0, 0, 0, 0, 0, 0, 222, 
eine, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 337, 
entschuldigen, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 264, 
exact, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 
express, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, -0.012, -0.004, 0.001, 0, 0.26, 0.001, -0.006, -0.001, -0.002, 0, -0.001, 0, 0, -0.006, 0, -0.005, 0.019, 0, 201, 
express shipping, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, -0.012, -0.004, 0.001, 0, 0.26, 0.001, -0.006, -0.001, -0.002, 0, -0.001, 0, 0, -0.006, 0, -0.005, 0.019, 0, 88, 
feeling, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 226, 
find, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0.135, 0, 0, 0, -0.012, -0.019, -0.016, 0.001, 0.008, 0, 0.005, 0, 0, 0.03, 0, -0.007, -0.078, 0, 138, 
fit, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 466, 
full, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, -0.005, 0, 0.001, -0.001, 0.005, 0, 0.211, 0.023, -0.002, 0, -0.019, 0, 0, 0.013, 0, 0.01, 0.042, 0, 397, 
full collection, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, -0.005, 0, 0.001, -0.001, 0.005, 0, 0.211, 0.023, -0.002, 0, -0.019, 0, 0, 0.013, 0, 0.01, 0.042, 0, 43, 
